개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
4671000,202546710000100001,개방화장실,법제3조제16호-영제3조제1항제3호,만금빌딩,전북특별자치도 군산시 공단대로 460,,1,2,0,0,0,0,1,0,0,만금빌딩,,정시,09:00~18:00,201505,민간,수세식,N,N,,N,N,,,2025-07-01,I,2026-05-15 18:43:46,2025-07-02 17:46:25
4671000,202546710000100002,공중화장실,법제3조제16호-영제3조제1항제1호,신역세권택지 내,전북특별자치도 군산시 내흥동 1021,,4,5,0,0,0,0,9,0,0,군산시청,,상시,,202412,공공기관-지방자치단체,수세식,N,N,,N,N,,,2025-07-01,I,2026-05-15 18:43:46,2025-07-02 17:46:25
4671000,202546710000100003,공중화장실,법제3조제16호-영제3조제1항제1호,새만금초 앞,전북특별자치도 군산시 오식도동 503,,1,1,0,0,0,0,2,0,0,군산시청,,상시,,202412,공공기관-지방자치단체,수세식,N,N,,N,N,,,2025-07-01,I,2026-05-15 18:43:46,2025-07-02 17:46:25
4671000,202546710000100004,공중화장실,법제3조제16호-영제3조제1항제1호,공원,전북특별자치도 군산시 소룡동 1529-1,,1,1,0,0,0,0,2,0,0,군산시청,,상시,,202412,공공기관-지방자치단체,수세식,N,N,,N,N,,,2025-07-01,I,2026-05-15 18:43:46,2025-07-02 17:46:25
4671000,202546710000100005,개방화장실,법제3조제16호-영제3조제1항제3호,의료법인 평화의료재단 군산성신병원,전북특별자치도 군산시 백토로 33-0,,0,0,0,0,0,0,0,0,0,의료법인 평화의료재단 군산성신병원,,상시,,199108,민간,수세식,N,N,,N,N,,,2025-07-01,I,2026-05-15 18:43:46,2025-07-02 17:46:25
4671000,202546710000100006,개방화장실,법제3조제16호-영제3조제1항제3호,키움병원,전북특별자치도 군산시 궁포안2길 24-0,,0,0,0,0,0,0,0,0,0,키움병원,,상시,,202008,민간,수세식,N,N,,N,N,,,2025-07-01,I,2026-05-15 18:43:46,2025-07-02 17:46:25
4671000,202546710000100007,개방화장실,법제3조제16호-영제3조제1항제3호,의료법인 의인의료재단 차병원,전북특별자치도 군산시 수송로 8,,0,0,0,0,0,0,0,0,0,의료법인 의인의료재단 차병원,,상시,,199901,민간,수세식,N,N,,N,N,,,2025-07-01,I,2026-05-15 18:43:46,2025-07-02 17:46:25
4671000,202546710000100008,개방화장실,법제3조제16호-영제3조제1항제3호,의료법인 관주의료재단 정다운병원,전북특별자치도 군산시 대학로 236,,0,0,0,0,0,0,0,0,0,의료법인 관주의료재단 정다운병원,,상시,,200910,민간,수세식,N,N,,N,N,,,2025-07-01,I,2026-05-15 18:43:46,2025-07-02 17:46:25
4671000,202546710000100009,개방화장실,법제3조제16호-영제3조제1항제3호,의료법인성하의료재단 누가병원,전북특별자치도 군산시 백릉로 70,,0,0,0,0,0,0,0,0,0,의료법인성하의료재단 누가병원,,상시,,201202,민간,수세식,N,N,,N,N,,,2025-07-01,I,2026-05-15 18:43:45,2025-07-02 17:46:25
4671000,202546710000100010,개방화장실,법제3조제16호-영제3조제1항제3호,의료법인 모세의료재단 모세병원,전북특별자치도 군산시 문화로 47,,0,0,0,0,0,0,0,0,0,의료법인 모세의료재단 모세병원,,상시,,200005,민간,수세식,N,N,,N,N,,,2025-07-01,I,2026-05-15 18:43:46,2025-07-02 17:46:25
